,,,,,,,,,,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,September 10,8:40PM ET,boxscore,W,,1-0,,Pittsburgh Steelers,28,21,26,361,281,80,,23,464,330,134,1,20.02,-17.01,1.30
2,Sun,September 20,1:02PM ET,boxscore,W,,2-0,@,Buffalo Bills,40,32,28,507,451,56,2,23,349,189,160,3,6.15,-5.24,7.57
3,Sun,September 27,1:06PM ET,boxscore,W,,3-0,,Jacksonville Jaguars,51,17,35,471,346,125,,15,293,236,57,1,36.41,-0.60,-2.35
4,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
5,Sun,October 11,4:25PM ET,boxscore,W,,4-0,@,Dallas Cowboys,30,6,20,356,247,109,,18,289,187,102,2,7.94,15.25,-0.38
6,Sun,October 18,8:30PM ET,boxscore,W,,5-0,@,Indianapolis Colts,34,27,22,417,301,116,1,24,409,289,120,,11.67,-6.55,3.83
7,Sun,October 25,1:02PM ET,boxscore,W,,6-0,,New York Jets,30,23,20,353,337,16,,25,372,283,89,1,11.28,-10.33,3.42
8,Thu,October 29,8:26PM ET,boxscore,W,,7-0,,Miami Dolphins,36,7,24,437,342,95,,18,270,255,15,2,13.71,10.95,4.67
9,Sun,November 8,1:02PM ET,boxscore,W,,8-0,,Washington Redskins,27,10,27,460,299,161,2,16,250,213,37,2,12.06,7.34,-3.71
10,Sun,November 15,4:31PM ET,boxscore,W,,9-0,@,New York Giants,27,26,22,406,329,77,2,21,422,342,80,1,6.31,-10.17,6.92
11,Mon,November 23,8:30PM ET,boxscore,W,,10-0,,Buffalo Bills,20,13,18,356,271,85,1,16,319,225,94,1,1.75,1.49,3.36
12,Sun,November 29,8:30PM ET,boxscore,L,OT,10-1,@,Denver Broncos,24,30,16,301,262,39,1,23,433,254,179,1,-2.09,-6.80,1.42
13,Sun,December 6,4:25PM ET,boxscore,L,,10-2,,Philadelphia Eagles,28,35,27,427,324,103,2,15,248,120,128,1,0.42,2.29,-11.55
14,Sun,December 13,8:31PM ET,boxscore,W,,11-2,@,Houston Texans,27,6,18,313,197,116,1,7,189,102,87,1,3.18,23.12,-5.49
15,Sun,December 20,1:02PM ET,boxscore,W,,12-2,,Tennessee Titans,33,16,17,346,253,93,1,15,282,223,59,3,4.76,15.56,-4.63
16,Sun,December 27,1:02PM ET,boxscore,L,OT,12-3,@,New York Jets,20,26,16,284,221,63,1,24,428,285,143,1,2.18,-7.60,-0.48
17,Sun,January 3,1:02PM ET,boxscore,L,,12-4,@,Miami Dolphins,10,20,12,196,126,70,,20,438,342,96,,-8.91,-7.05,3.15
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sat,January 16,4:35PM ET,boxscore,W,,13-4,,Kansas City Chiefs,27,20,21,340,302,38,,27,378,243,135,1,12.79,-6.75,1.22
Conf. Champ.,Sun,January 24,3:05PM ET,boxscore,L,,13-5,@,Denver Broncos,18,20,20,336,292,44,2,12,244,145,99,1,-11.95,11.11,-3.99
1,Sun,September 13,4:25PM ET,boxscore,W,,1-0,,Baltimore Ravens,19,13,16,219,150,69,1,11,173,100,73,2,-14.53,20.78,-1.43
2,Thu,September 17,8:29PM ET,boxscore,W,,2-0,@,Kansas City Chiefs,31,24,21,299,238,61,1,20,314,167,147,5,-6.63,9.40,5.00
3,Sun,September 27,8:30PM ET,boxscore,W,,3-0,@,Detroit Lions,24,12,19,354,313,41,2,22,290,262,28,3,4.66,7.25,-0.27
4,Sun,October 4,4:25PM ET,boxscore,W,,4-0,,Minnesota Vikings,23,20,18,344,200,144,2,19,325,212,113,1,3.65,-1.67,2.67
5,Sun,October 11,4:25PM ET,boxscore,W,,5-0,@,Oakland Raiders,16,10,15,297,254,43,2,20,288,223,65,3,-7.77,8.27,4.42
6,Sun,October 18,1:02PM ET,boxscore,W,OT,6-0,@,Cleveland Browns,26,23,21,442,290,152,3,20,298,189,109,3,-12.98,20.85,-4.83
7,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
8,Sun,November 1,8:30PM ET,boxscore,W,,7-0,,Green Bay Packers,29,10,24,500,340,160,1,14,140,50,90,,20.90,2.89,-5.26
9,Sun,November 8,4:25PM ET,boxscore,L,,7-1,@,Indianapolis Colts,24,27,16,309,274,35,2,27,365,245,120,,3.28,-12.14,0.14
10,Sun,November 15,4:30PM ET,boxscore,L,,7-2,,Kansas City Chiefs,13,29,18,221,152,69,5,13,303,197,106,,-14.78,4.23,-7.40
11,Sun,November 22,1:02PM ET,boxscore,W,,8-2,@,Chicago Bears,17,15,21,389,219,170,,19,347,261,86,2,4.79,0.16,-1.04
12,Sun,November 29,8:30PM ET,boxscore,W,OT,9-2,,New England Patriots,30,24,23,433,254,179,1,16,301,262,39,1,6.80,2.09,-1.42
13,Sun,December 6,4:05PM ET,boxscore,W,,10-2,@,San Diego Chargers,17,3,19,293,159,134,1,15,272,179,93,3,-0.16,24.08,-5.00
14,Sun,December 13,4:05PM ET,boxscore,L,,10-3,,Oakland Raiders,12,15,20,310,276,34,2,8,126,99,27,,-12.95,19.55,-11.01
15,Sun,December 20,4:25PM ET,boxscore,L,,10-4,@,Pittsburgh Steelers,27,34,20,385,281,104,2,28,377,354,23,2,-1.86,-5.14,-0.34
16,Mon,December 28,8:30PM ET,boxscore,W,OT,11-4,,Cincinnati Bengals,20,17,22,390,277,113,1,22,294,186,108,1,8.23,-1.33,-0.93
17,Sun,January 3,4:25PM ET,boxscore,W,,12-4,,San Diego Chargers,27,20,21,503,293,210,5,15,317,207,110,1,-0.27,10.87,-2.21
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Division,Sun,January 17,4:40PM ET,boxscore,W,,13-4,,Pittsburgh Steelers,23,16,19,324,215,109,,16,396,311,85,1,-5.76,3.71,9.90
Conf. Champ.,Sun,January 24,3:05PM ET,boxscore,W,,14-4,,New England Patriots,20,18,12,244,145,99,1,20,336,292,44,2,-11.11,11.95,3.99
SuperBowl,Sun,February 7,6:39PM ET,boxscore,W,,15-4,N,Carolina Panthers,24,10,11,194,104,90,2,21,315,197,118,4,-20.81,20.91,11.64